asin,itemName,sku,is_fba,kitFlag,channel_name,quantity
B07KQKKQNQ,IP-KCLN-305-NAV,IP-KCLN-305-NAV,FALSE,FALSE,Amazon US,5
B07KQJRP9M,IP-KCLN-305-MKZ,IP-KCLN-305-MKZ,FALSE,FALSE,Amazon US,5
B07KQMP3YV,IP-KCLN-305-MKX,IP-KCLN-305-MKX,FALSE,FALSE,Amazon US,5
B07KQLCWQC,IP-KCLN-305-MKT,IP-KCLN-305-MKT,FALSE,FALSE,Amazon US,5
B07KQP6WVT,IP-KCLN-305-MKC,IP-KCLN-305-MKC,FALSE,FALSE,Amazon US,5
B07KQKTQN7,IP-KCLN-305-LIN,IP-KCLN-305-LIN,FALSE,FALSE,Amazon US,5
B07KQC22YX,IP-KCLN-305-CTN,IP-KCLN-305-CTN,FALSE,FALSE,Amazon US,0
B07KQJRNL1,IP-KCFD-305-XPL,IP-KCFD-305-XPL,FALSE,FALSE,Amazon US,5
B07KQKQZC2,IP-KCFD-305-XPD,IP-KCFD-305-XPD,FALSE,FALSE,Amazon US,5
B07KQJXT24,IP-KCFD-305-THU,IP-KCFD-305-THU,FALSE,FALSE,Amazon US,5
B07KQLB7VT,IP-KCFD-305-TAU,IP-KCFD-305-TAU,FALSE,FALSE,Amazon US,5
B07KQMT4GY,IP-KCFD-305-SVT,IP-KCFD-305-SVT,FALSE,FALSE,Amazon US,5
B07KQKYV4N,IP-KCFD-305-SUPN,IP-KCFD-305-SUPN,FALSE,FALSE,Amazon US,5
B07KQLQXTH,IP-KCFD-305-STX,IP-KCFD-305-STX,FALSE,FALSE,Amazon US,5
B07KQKHCK9,IP-KCFD-305-SCP,IP-KCFD-305-SCP,FALSE,FALSE,Amazon US,5
B07KQJJ8X9,IP-KCFD-305-RNG,IP-KCFD-305-RNG,FALSE,FALSE,Amazon US,4
B07KQL9N4F,IP-KCFD-305-RAPN,IP-KCFD-305-RAPN,FALSE,FALSE,Amazon US,5
B07KQ8B8VX,IP-KCFD-305-RAP,IP-KCFD-305-RAP,FALSE,FALSE,Amazon US,5
B07KQM2LZS,IP-KCFD-305-PLAN,IP-KCFD-305-PLAN,FALSE,FALSE,Amazon US,5
B07KQLR6QM,IP-KCFD-305-MUS,IP-KCFD-305-MUS,FALSE,FALSE,Amazon US,5
B07KQMHWW5,IP-KCFD-305-MTB,IP-KCFD-305-MTB,FALSE,FALSE,Amazon US,5
B07KQJWV66,IP-KCFD-305-MSC,IP-KCFD-305-MSC,FALSE,FALSE,Amazon US,5
B07KQJX729,IP-KCFD-305-MGT,IP-KCFD-305-MGT,FALSE,FALSE,Amazon US,5
B07KQHTL5J,IP-KCFD-305-MCR,IP-KCFD-305-MCR,FALSE,FALSE,Amazon US,5
B07KQK643R,IP-KCFD-305-M50,IP-KCFD-305-M50,FALSE,FALSE,Amazon US,5
B07KQKZCHR,IP-KCFD-305-LAR,IP-KCFD-305-LAR,FALSE,FALSE,Amazon US,5
B07KQLM98H,IP-KCFD-305-FX4,IP-KCFD-305-FX4,FALSE,FALSE,Amazon US,5
B07KQJYQQY,IP-KCFD-305-FUS,IP-KCFD-305-FUS,FALSE,FALSE,Amazon US,5
B07KQKJ2ZG,IP-KCFD-305-FST,IP-KCFD-305-FST,FALSE,FALSE,Amazon US,5
B07KQKKJB6,IP-KCFD-305-FRS,IP-KCFD-305-FRS,FALSE,FALSE,Amazon US,5
B07KQJ6TZN,IP-KCFD-305-FOR,IP-KCFD-305-FOR,FALSE,FALSE,Amazon US,5
B07KQJ6Z78,IP-KCFD-305-FOC,IP-KCFD-305-FOC,FALSE,FALSE,Amazon US,5
B07KQHTWKD,IP-KCFD-305-FLX,IP-KCFD-305-FLX,FALSE,FALSE,Amazon US,5
B07KQKLYFT,IP-KCFD-305-F35,IP-KCFD-305-F35,FALSE,FALSE,Amazon US,5
B07KQJDMX3,IP-KCFD-305-F25,IP-KCFD-305-F25,FALSE,FALSE,Amazon US,5
B07KQ6TQML,IP-KCFD-305-F15N,IP-KCFD-305-F15N,FALSE,FALSE,Amazon US,5
B07KQFZVCL,IP-KCFD-305-F15,IP-KCFD-305-F15,FALSE,FALSE,Amazon US,5
B07KQFMC4H,IP-KCFD-305-EDG,IP-KCFD-305-EDG,FALSE,FALSE,Amazon US,5
B07KQH3F1F,IP-KCFD-305-ECS,IP-KCFD-305-ECS,FALSE,FALSE,Amazon US,0
B07KPRRHBX,IP-KCFD-305-COB,IP-KCFD-305-COB,FALSE,FALSE,Amazon US,5
B07KPQS1BZ,IP-KCFD-305-CMX,IP-KCFD-305-CMX,FALSE,FALSE,Amazon US,0
B07KPR4H3V,IP-KCFD-305-BOSS,IP-KCFD-305-BOSS,FALSE,FALSE,Amazon US,5
B07KPQY8BH,IP-KCFD-305-BNC,IP-KCFD-305-BNC,FALSE,FALSE,Amazon US,3
B07KPRHGZ2,IP-KCFD-305-BFT,IP-KCFD-305-BFT,FALSE,FALSE,Amazon US,5
B07KPQX29Z,IP-KCFD-305-50Y,IP-KCFD-305-50Y,FALSE,FALSE,Amazon US,0
B07KQQ81ZB,IP-MPHD-CTR-S16,IP-MPHD-CTR-S16,FALSE,FALSE,Amazon US,0
B07KQPCZC2,IP-MPHD-CTR-S15,IP-MPHD-CTR-S15,FALSE,FALSE,Amazon US,0
B07KQNHB7R,IP-MPHD-CTR-S14,IP-MPHD-CTR-S14,FALSE,FALSE,Amazon US,0
B07KQPXTMY,IP-MPHD-CTR-S13,IP-MPHD-CTR-S13,FALSE,FALSE,Amazon US,0
B07KQPMLX8,IP-MPHD-CTR-S12,IP-MPHD-CTR-S12,FALSE,FALSE,Amazon US,0
B07KQQ4H46,IP-MPHD-CTR-S11,IP-MPHD-CTR-S11,FALSE,FALSE,Amazon US,0
B07KQNGMFV,IP-MPHD-CTR-S10,IP-MPHD-CTR-S10,FALSE,FALSE,Amazon US,0
B07KQPGPKP,IP-MPHD-CTR-S09,IP-MPHD-CTR-S09,FALSE,FALSE,Amazon US,0
B07KQR559D,IP-MPHD-CTR-S08,IP-MPHD-CTR-S08,FALSE,FALSE,Amazon US,0
B07KQPLXJJ,IP-MPHD-CTR-S07,IP-MPHD-CTR-S07,FALSE,FALSE,Amazon US,0
B07KQNYL24,IP-MPHD-CTR-S06,IP-MPHD-CTR-S06,FALSE,FALSE,Amazon US,0
B07KQPV4VT,IP-MPHD-CTR-S05,IP-MPHD-CTR-S05,FALSE,FALSE,Amazon US,0
B07KQN23YQ,IP-MPHD-CTR-S04,IP-MPHD-CTR-S04,FALSE,FALSE,Amazon US,0
B07KQNDQB9,IP-MPHD-CTR-S03,IP-MPHD-CTR-S03,FALSE,FALSE,Amazon US,0
B07KQNX968,IP-MPHD-CTR-S02,IP-MPHD-CTR-S02,FALSE,FALSE,Amazon US,0
B07KQMFV8J,IP-MPHD-CTR-S01,IP-MPHD-CTR-S01,FALSE,FALSE,Amazon US,0
B07KQXTTKT,IP-KCNS-202-TIT,IP-KCNS-202-TIT,FALSE,FALSE,Amazon US,0
B07KQXQ1GH,IP-KCNS-202-SEN,IP-KCNS-202-SEN,FALSE,FALSE,Amazon US,0
B07KQW444Q,IP-KCNS-202-NSM,IP-KCNS-202-NSM,FALSE,FALSE,Amazon US,0
B07KQV13HW,IP-KCNS-202-NISN,IP-KCNS-202-NISN,FALSE,FALSE,Amazon US,0
B07KQVBK34,IP-KCNS-202-MUR,IP-KCNS-202-MUR,FALSE,FALSE,Amazon US,0
B07KQTF27P,IP-KCNS-202-MAX,IP-KCNS-202-MAX,FALSE,FALSE,Amazon US,0
B07KQVJGF8,IP-KCNS-202-JUK,IP-KCNS-202-JUK,FALSE,FALSE,Amazon US,0
B07KQSKGQF,IP-KCNS-202-ALT,IP-KCNS-202-ALT,FALSE,FALSE,Amazon US,0
B07KQTXKP5,IP-KCNS-202-370Z,IP-KCNS-202-370Z,FALSE,FALSE,Amazon US,0
B07KQSL9SJ,IP-KCNS-202-350Z,IP-KCNS-202-350Z,FALSE,FALSE,Amazon US,0
B07KQQQP44,IP-KCNS-101-TIT,IP-KCNS-101-TIT,FALSE,FALSE,Amazon US,0
B07KQR3JFL,IP-KCNS-101-SEN,IP-KCNS-101-SEN,FALSE,FALSE,Amazon US,0
B07KQR2YNX,IP-KCNS-101-NSM,IP-KCNS-101-NSM,FALSE,FALSE,Amazon US,0
B07KQQLZZ9,IP-KCNS-101-NISN,IP-KCNS-101-NISN,FALSE,FALSE,Amazon US,0
B07KQRHXT5,IP-KCNS-101-MUR,IP-KCNS-101-MUR,FALSE,FALSE,Amazon US,0
B07KQRY2QG,IP-KCNS-101-MAX,IP-KCNS-101-MAX,FALSE,FALSE,Amazon US,0
B07KQPS89Y,IP-KCNS-101-JUK,IP-KCNS-101-JUK,FALSE,FALSE,Amazon US,0
B07KQR5W7D,IP-KCNS-101-ALT,IP-KCNS-101-ALT,FALSE,FALSE,Amazon US,0
B07KQQSBQH,IP-KCNS-101-370Z,IP-KCNS-101-370Z,FALSE,FALSE,Amazon US,0
B07KQQ27Q8,IP-KCNS-101-350Z,IP-KCNS-101-350Z,FALSE,FALSE,Amazon US,0
B07KJVNLYD,IP-KCHD-101-RID,IP-KCHD-101-RID,FALSE,FALSE,Amazon US,3
B07KJVNLYD,IP-KCHD-101-RID,IP-KCHD-101-RID-FBA,TRUE,FALSE,Amazon US,3
B07KJS5VDG,IP-KCHD-101-PIL,IP-KCHD-101-PIL,FALSE,FALSE,Amazon US,3
B07KJS5VDG,IP-KCHD-101-PIL,IP-KCHD-101-PIL-FBA,TRUE,FALSE,Amazon US,3
B07KJRP7NJ,IP-KCHD-101-ODY,IP-KCHD-101-ODY,FALSE,FALSE,Amazon US,3
B07KJRP7NJ,IP-KCHD-101-ODY,IP-KCHD-101-ODY-FBA,TRUE,FALSE,Amazon US,3
B07KJSLFTT,IP-KCHD-101-INS,IP-KCHD-101-INS,FALSE,FALSE,Amazon US,1
B07KJSLFTT,IP-KCHD-101-INS,IP-KCHD-101-INS-FBA,TRUE,FALSE,Amazon US,1
B07KJR1LHL,IP-KCHD-101-HRV,IP-KCHD-101-HRV,FALSE,FALSE,Amazon US,3
B07KJR1LHL,IP-KCHD-101-HRV,IP-KCHD-101-HRV-FBA,TRUE,FALSE,Amazon US,3
B07KGLG57P,IP-KCHD-101-HON-R,IP-KCHD-101-HON-R-FBA,TRUE,FALSE,Amazon US,1
B07KGLG57P,IP-KCHD-101-HON-R,IP-KCHD-101-HON-R,FALSE,FALSE,Amazon US,1
B07KGMKJJN,IP-KCHD-101-HON-B,IP-KCHD-101-HON-B-FBA,TRUE,FALSE,Amazon US,1
B07KGMKJJN,IP-KCHD-101-HON-B,IP-KCHD-101-HON-B,FALSE,FALSE,Amazon US,1
B07KGLSZCD,IP-KCHD-101-HON,IP-KCHD-101-HON-FBA,TRUE,FALSE,Amazon US,2
B07KGLSZCD,IP-KCHD-101-HON,IP-KCHD-101-HON,FALSE,FALSE,Amazon US,2
B07KJP94SW,IP-KCHD-101-FIT,IP-KCHD-101-FIT,FALSE,FALSE,Amazon US,1
B07KJP94SW,IP-KCHD-101-FIT,IP-KCHD-101-FIT-FBA,TRUE,FALSE,Amazon US,1
B07KJQNDQW,IP-KCHD-101-CTR-R,IP-KCHD-101-CTR-R,FALSE,FALSE,Amazon US,3
B07KJQNDQW,IP-KCHD-101-CTR-R,IP-KCHD-101-CTR-R-FBA,TRUE,FALSE,Amazon US,3
B07KJS1BY2,IP-KCHD-101-CTR,IP-KCHD-101-CTR,FALSE,FALSE,Amazon US,3
B07KJS1BY2,IP-KCHD-101-CTR,IP-KCHD-101-CTR-FBA,TRUE,FALSE,Amazon US,3
B07KJS92KL,IP-KCHD-101-CSi-R,IP-KCHD-101-CSi-R,FALSE,FALSE,Amazon US,2
B07KJS92KL,IP-KCHD-101-CSi-R,IP-KCHD-101-CSi-R-FBA,TRUE,FALSE,Amazon US,2
B07KGKZQV7,IP-KCHD-101-CSi,IP-KCHD-101-CSi-FBA,TRUE,FALSE,Amazon US,2
B07KGKZQV7,IP-KCHD-101-CSi,IP-KCHD-101-CSi,FALSE,FALSE,Amazon US,2
B07KGLVS5Q,IP-KCHD-101-CRV-R,IP-KCHD-101-CRV-R-FBA,TRUE,FALSE,Amazon US,1
B07KGLVS5Q,IP-KCHD-101-CRV-R,IP-KCHD-101-CRV-R,FALSE,FALSE,Amazon US,1
B07KGJ4FSR,IP-KCHD-101-CRV-B,IP-KCHD-101-CRV-B-FBA,TRUE,FALSE,Amazon US,1
B07KGJ4FSR,IP-KCHD-101-CRV-B,IP-KCHD-101-CRV-B,FALSE,FALSE,Amazon US,1
B07KGKNP26,IP-KCHD-101-CRV,IP-KCHD-101-CRV-FBA,TRUE,FALSE,Amazon US,3
B07KGKNP26,IP-KCHD-101-CRV,IP-KCHD-101-CRV,FALSE,FALSE,Amazon US,3
B07KGKKCZD,IP-KCHD-101-CIV-R,IP-KCHD-101-CIV-R-FBA,TRUE,FALSE,Amazon US,1
B07KGKKCZD,IP-KCHD-101-CIV-R,IP-KCHD-101-CIV-R,FALSE,FALSE,Amazon US,1
B07KGKC956,IP-KCHD-101-CIV-B,IP-KCHD-101-CIV-B-FBA,TRUE,FALSE,Amazon US,1
B07KGKC956,IP-KCHD-101-CIV-B,IP-KCHD-101-CIV-B,FALSE,FALSE,Amazon US,1
B07KGKRJFP,IP-KCHD-101-CIV,IP-KCHD-101-CIV-FBA,TRUE,FALSE,Amazon US,3
B07KGKRJFP,IP-KCHD-101-CIV,IP-KCHD-101-CIV,FALSE,FALSE,Amazon US,3
B07KGKQSQD,IP-KCHD-101-ACC-R,IP-KCHD-101-ACC-R-FBA,TRUE,FALSE,Amazon US,1
B07KGKQSQD,IP-KCHD-101-ACC-R,IP-KCHD-101-ACC-R,FALSE,FALSE,Amazon US,1
B07KGKWLXZ,IP-KCHD-101-ACC-B,IP-KCHD-101-ACC-B-FBA,TRUE,FALSE,Amazon US,1
B07KGKWLXZ,IP-KCHD-101-ACC-B,IP-KCHD-101-ACC-B,FALSE,FALSE,Amazon US,1
B07KGKHP3P,IP-KCHD-101-ACC,IP-KCHD-101-ACC-FBA,TRUE,FALSE,Amazon US,2
B07KGKHP3P,IP-KCHD-101-ACC,IP-KCHD-101-ACC,FALSE,FALSE,Amazon US,2
B07K4T44PT,IP-SKHD-6TB-RID,IP-SKHD-6TB-RID,FALSE,FALSE,Amazon US,2
B07K4T8ZVK,IP-SKHD-6TB-PIL,IP-SKHD-6TB-PIL,FALSE,FALSE,Amazon US,2
B07K4XFK71,IP-SKHD-6TB-ODY,IP-SKHD-6TB-ODY,FALSE,FALSE,Amazon US,2
B07K4TH36Z,IP-SKHD-6TB-INS,IP-SKHD-6TB-INS,FALSE,FALSE,Amazon US,2
B07K511XC7,IP-SKHD-6TB-HRV,IP-SKHD-6TB-HRV,FALSE,FALSE,Amazon US,2
B07K4S5NC9,IP-SKHD-6TB-HON-R,IP-SKHD-6TB-HON-R,FALSE,FALSE,Amazon US,2
B07K4RK79P,IP-SKHD-6TB-HON-B,IP-SKHD-6TB-HON-B,FALSE,FALSE,Amazon US,2
B07K4R4HCS,IP-SKHD-6TB-HON,IP-SKHD-6TB-HON,FALSE,FALSE,Amazon US,2
B07K4QB9RB,IP-SKHD-6TB-FIT,IP-SKHD-6TB-FIT,FALSE,FALSE,Amazon US,2
B07K4ZYP6R,IP-SKHD-6TB-CTR-R,IP-SKHD-6TB-CTR-R,FALSE,FALSE,Amazon US,1
B07K529L8X,IP-SKHD-6TB-CTR,IP-SKHD-6TB-CTR,FALSE,FALSE,Amazon US,2
B07K4SSH3N,IP-SKHD-6TB-CSi-R,IP-SKHD-6TB-CSi-R,FALSE,FALSE,Amazon US,2
B07K4QCBMG,IP-SKHD-6TB-CSi,IP-SKHD-6TB-CSi,FALSE,FALSE,Amazon US,2
B07K4RV9J2,IP-SKHD-6TB-CRV-R,IP-SKHD-6TB-CRV-R,FALSE,FALSE,Amazon US,2
B07K4TH29S,IP-SKHD-6TB-CRV-B,IP-SKHD-6TB-CRV-B,FALSE,FALSE,Amazon US,2
B07K4H6MTS,IP-SKHD-6TB-CRV,IP-SKHD-6TB-CRV,FALSE,FALSE,Amazon US,2
B07K4SDBXF,IP-SKHD-6TB-CIV-R,IP-SKHD-6TB-CIV-R,FALSE,FALSE,Amazon US,2
B07K4T7B41,IP-SKHD-6TB-CIV-B,IP-SKHD-6TB-CIV-B,FALSE,FALSE,Amazon US,2
B07K4PQMXQ,IP-SKHD-6TB-CIV,IP-SKHD-6TB-CIV,FALSE,FALSE,Amazon US,2
B07K4HNGBL,IP-SKHD-6TB-ACC-R,IP-SKHD-6TB-ACC-R,FALSE,FALSE,Amazon US,2
B07K4PYJH4,IP-SKHD-6TB-ACC-B,IP-SKHD-6TB-ACC-B,FALSE,FALSE,Amazon US,2
B07K4T2VZW,IP-SKHD-6TB-ACC,IP-SKHD-6TB-ACC,FALSE,FALSE,Amazon US,2
B07K4JPJDX,IP-SKHD-6TG-RID,IP-SKHD-6TG-RID,FALSE,FALSE,Amazon US,2
B07K4SPRFG,IP-SKHD-6TG-PIL,IP-SKHD-6TG-PIL,FALSE,FALSE,Amazon US,2
B07K4NHLGT,IP-SKHD-6TG-ODY,IP-SKHD-6TG-ODY,FALSE,FALSE,Amazon US,2
B07K4NTN7P,IP-SKHD-6TG-INS,IP-SKHD-6TG-INS,FALSE,FALSE,Amazon US,2
B07K4R36KS,IP-SKHD-6TG-HRV,IP-SKHD-6TG-HRV,FALSE,FALSE,Amazon US,2
B07K4F9L9F,IP-SKHD-6TG-HON-R,IP-SKHD-6TG-HON-R,FALSE,FALSE,Amazon US,2
B07K4XV3NC,IP-SKHD-6TG-HON-B,IP-SKHD-6TG-HON-B,FALSE,FALSE,Amazon US,2
B07K4SMBVR,IP-SKHD-6TG-HON,IP-SKHD-6TG-HON,FALSE,FALSE,Amazon US,2
B07K4KRXRL,IP-SKHD-6TG-FIT,IP-SKHD-6TG-FIT,FALSE,FALSE,Amazon US,2
B07K4TNTH7,IP-SKHD-6TG-CTR-R,IP-SKHD-6TG-CTR-R,FALSE,FALSE,Amazon US,2
B07K4MGPQ1,IP-SKHD-6TG-CTR,IP-SKHD-6TG-CTR,FALSE,FALSE,Amazon US,2
B07K4KRV9D,IP-SKHD-6TG-CSi-R,IP-SKHD-6TG-CSi-R,FALSE,FALSE,Amazon US,2
B07K4GZ92P,IP-SKHD-6TG-CSi,IP-SKHD-6TG-CSi,FALSE,FALSE,Amazon US,2
B07K4KXRVK,IP-SKHD-6TG-CRV-R,IP-SKHD-6TG-CRV-R,FALSE,FALSE,Amazon US,2
B07K4S2GBM,IP-SKHD-6TG-CRV-B,IP-SKHD-6TG-CRV-B,FALSE,FALSE,Amazon US,2
B07K4FB48P,IP-SKHD-6TG-CRV,IP-SKHD-6TG-CRV,FALSE,FALSE,Amazon US,2
B07K511MQB,IP-SKHD-6TG-CIV-R,IP-SKHD-6TG-CIV-R,FALSE,FALSE,Amazon US,2
B07K4CF55F,IP-SKHD-6TG-CIV-B,IP-SKHD-6TG-CIV-B,FALSE,FALSE,Amazon US,2
B07K4JW6K6,IP-SKHD-6TG-CIV,IP-SKHD-6TG-CIV,FALSE,FALSE,Amazon US,2
B07K4ZPL5K,IP-SKHD-6TG-ACC-R,IP-SKHD-6TG-ACC-R,FALSE,FALSE,Amazon US,2
B07K4MGWG4,IP-SKHD-6TG-ACC-B,IP-SKHD-6TG-ACC-B,FALSE,FALSE,Amazon US,2
B07K1NTH3W,IP-SKHD-6TG-ACC,IP-SKHD-6TG-ACC,FALSE,FALSE,Amazon US,2
B07K1ZXST2,IP-SKFD-W27-IPX-MTB,IP-SKFD-W27-IPX-MTB,FALSE,FALSE,Amazon US,3
B07K1ZXST2,IP-SKFD-W27-IPX-MTB,IP-SKFD-W27-IPX-MTB-FBA,FALSE,FALSE,Amazon US,3
B07JZZ83DR,IP-SKFD-W27-IPX-FST,IP-SKFD-W27-IPX-FST,FALSE,FALSE,Amazon US,3
B07JZZ83DR,IP-SKFD-W27-IPX-FST,IP-SKFD-W27-IPX-FST-FBA,FALSE,FALSE,Amazon US,3
B07K1MWG24,IP-SKFD-W27-IPX-FRS,IP-SKFD-W27-IPX-FRS,FALSE,FALSE,Amazon US,3
B07K1MWG24,IP-SKFD-W27-IPX-FRS,IP-SKFD-W27-IPX-FRS-FBA,FALSE,FALSE,Amazon US,3
B07K1M6WDJ,IP-SKFD-W27-IPX-F15N,IP-SKFD-W27-IPX-F15N,FALSE,FALSE,Amazon US,3
B07K1M6WDJ,IP-SKFD-W27-IPX-F15N,IP-SKFD-W27-IPX-F15N-FBA,FALSE,FALSE,Amazon US,3
B07K1M8G8N,IP-SKFD-W27-IPX-F15,IP-SKFD-W27-IPX-F15,FALSE,FALSE,Amazon US,3
B07K1M8G8N,IP-SKFD-W27-IPX-F15,IP-SKFD-W27-IPX-F15-FBA,FALSE,FALSE,Amazon US,3
B07K1NBBLS,IP-SKFD-W27-IPX-BFT,IP-SKFD-W27-IPX-BFT,FALSE,FALSE,Amazon US,3
B07K1NBBLS,IP-SKFD-W27-IPX-BFT,IP-SKFD-W27-IPX-BFT-FBA,FALSE,FALSE,Amazon US,3
B07K7TW9NL,IP-KCHD-202-RID,IP-KCHD-202-RID,FALSE,FALSE,Amazon US,2
B07K7XH8JF,IP-KCHD-202-PIL,IP-KCHD-202-PIL,FALSE,FALSE,Amazon US,2
B07K7Y5G85,IP-KCHD-202-ODY,IP-KCHD-202-ODY,FALSE,FALSE,Amazon US,1
B07K7WF6SG,IP-KCHD-202-INS,IP-KCHD-202-INS,FALSE,FALSE,Amazon US,1
B07K7WJ99N,IP-KCHD-202-HRV,IP-KCHD-202-HRV,FALSE,FALSE,Amazon US,1
B07K7VMQYM,IP-KCHD-202-HON-R,IP-KCHD-202-HON-R,FALSE,FALSE,Amazon US,2
B07K7WL4G6,IP-KCHD-202-HON-B,IP-KCHD-202-HON-B,FALSE,FALSE,Amazon US,2
B07K7VBKGR,IP-KCHD-202-HON,IP-KCHD-202-HON,FALSE,FALSE,Amazon US,0
B07K7W29L2,IP-KCHD-202-FIT,IP-KCHD-202-FIT,FALSE,FALSE,Amazon US,2
B07K7V8SM7,IP-KCHD-202-CTR-R,IP-KCHD-202-CTR-R,FALSE,FALSE,Amazon US,1
B07K7W9B2Y,IP-KCHD-202-CTR,IP-KCHD-202-CTR,FALSE,FALSE,Amazon US,1
B07K7XP6LN,IP-KCHD-202-CSi-R,IP-KCHD-202-CSi-R,FALSE,FALSE,Amazon US,0
B07K7WHFS8,IP-KCHD-202-CSi,IP-KCHD-202-CSi,FALSE,FALSE,Amazon US,0
B07K7WNF3V,IP-KCHD-202-CRV-R,IP-KCHD-202-CRV-R,FALSE,FALSE,Amazon US,0
B07K7W34LZ,IP-KCHD-202-CRV-B,IP-KCHD-202-CRV-B,FALSE,FALSE,Amazon US,1
B07K7WCB5F,IP-KCHD-202-CRV,IP-KCHD-202-CRV,FALSE,FALSE,Amazon US,1
B07K7SZCC5,IP-KCHD-202-CIV-R,IP-KCHD-202-CIV-R,FALSE,FALSE,Amazon US,1
B07K7TMD5M,IP-KCHD-202-CIV-B,IP-KCHD-202-CIV-B,FALSE,FALSE,Amazon US,1
B07K7W2L69,IP-KCHD-202-CIV,IP-KCHD-202-CIV,FALSE,FALSE,Amazon US,1
B07K79M6SM,IP-KCHD-202-ACC-R,IP-KCHD-202-ACC-R-FBA,TRUE,FALSE,Amazon US,0
B07K79M6SM,IP-KCHD-202-ACC-R,IP-KCHD-202-ACC-R,FALSE,FALSE,Amazon US,0
B07K798JD2,IP-KCHD-202-ACC-B,IP-KCHD-202-ACC-B-FBA,TRUE,FALSE,Amazon US,1
B07K798JD2,IP-KCHD-202-ACC-B,IP-KCHD-202-ACC-B,FALSE,FALSE,Amazon US,1
B07K7912TY,IP-KCHD-202-ACC,IP-KCHD-202-ACC-FBA,TRUE,FALSE,Amazon US,1
B07K7912TY,IP-KCHD-202-ACC,IP-KCHD-202-ACC,FALSE,FALSE,Amazon US,1
B07K767DP2,IP-KCLN-202-NAV-R,IP-KCLN-202-NAV-R,FALSE,FALSE,Amazon US,1
B07K78F7CK,IP-KCLN-202-NAV,IP-KCLN-202-NAV,FALSE,FALSE,Amazon US,1
B07K787VM4,IP-KCLN-202-MKZ,IP-KCLN-202-MKZ,FALSE,FALSE,Amazon US,1
B07K76TH9G,IP-KCLN-202-MKX,IP-KCLN-202-MKX,FALSE,FALSE,Amazon US,1
B07K78LVTW,IP-KCLN-202-MKT,IP-KCLN-202-MKT,FALSE,FALSE,Amazon US,1
B07K78SZVS,IP-KCLN-202-MKC,IP-KCLN-202-MKC,FALSE,FALSE,Amazon US,1
B07K774Z9N,IP-KCLN-202-LIN-R,IP-KCLN-202-LIN-R,FALSE,FALSE,Amazon US,1
B07K787T16,IP-KCLN-202-LIN,IP-KCLN-202-LIN,FALSE,FALSE,Amazon US,1
B07K7719JY,IP-KCLN-202-CTN,IP-KCLN-202-CTN,FALSE,FALSE,Amazon US,0
B07K6ZTNTV,IP-KCFD-202-XPL,IP-KCFD-202-XPL,FALSE,FALSE,Amazon US,0
B07K71896D,IP-KCFD-202-XPD,IP-KCFD-202-XPD,FALSE,FALSE,Amazon US,0
B07K7215JG,IP-KCFD-202-THU,IP-KCFD-202-THU,FALSE,FALSE,Amazon US,0
B07K6YNT48,IP-KCFD-202-TAU,IP-KCFD-202-TAU,FALSE,FALSE,Amazon US,0
B07K6ZCPTH,IP-KCFD-202-SVT,IP-KCFD-202-SVT,FALSE,FALSE,Amazon US,0
B07K6ZKTD1,IP-KCFD-202-SUPN,IP-KCFD-202-SUPN,FALSE,FALSE,Amazon US,0
B07K6Z5Y7X,IP-KCFD-202-STX,IP-KCFD-202-STX,FALSE,FALSE,Amazon US,0
B07K6YV2M4,IP-KCFD-202-SCP,IP-KCFD-202-SCP,FALSE,FALSE,Amazon US,0
B07K6YKVKH,IP-KCFD-202-RNG,IP-KCFD-202-RNG,FALSE,FALSE,Amazon US,0
B07K71449V,IP-KCFD-202-RAPN-R,IP-KCFD-202-RAPN-R,FALSE,FALSE,Amazon US,0
B07K71J1V9,IP-KCFD-202-RAPN-BL,IP-KCFD-202-RAPN-BL,FALSE,FALSE,Amazon US,0
B07K6XVF4J,IP-KCFD-202-RAPN,IP-KCFD-202-RAPN,FALSE,FALSE,Amazon US,0
B07K6XR1RS,IP-KCFD-202-RAP,IP-KCFD-202-RAP,FALSE,FALSE,Amazon US,0
B07K6WZGV7,IP-KCFD-202-PLAN,IP-KCFD-202-PLAN,FALSE,FALSE,Amazon US,2
B07K6YP9WY,IP-KCFD-202-MUS-R,IP-KCFD-202-MUS-R,FALSE,FALSE,Amazon US,0
B07K6YK4TG,IP-KCFD-202-MUS,IP-KCFD-202-MUS,FALSE,FALSE,Amazon US,0
B07K6W69M9,IP-KCFD-202-MTB-R,IP-KCFD-202-MTB-R,FALSE,FALSE,Amazon US,0
B07K6YDDL8,IP-KCFD-202-MTB,IP-KCFD-202-MTB,FALSE,FALSE,Amazon US,0
B07K6YMGS9,IP-KCFD-202-MSC-R,IP-KCFD-202-MSC-R,FALSE,FALSE,Amazon US,0
B07K6WFDWR,IP-KCFD-202-MSC,IP-KCFD-202-MSC,FALSE,FALSE,Amazon US,0
B07K6TB9YW,IP-KCFD-202-MGT-R,IP-KCFD-202-MGT-R,FALSE,FALSE,Amazon US,0
B07K6TQX86,IP-KCFD-202-MGT,IP-KCFD-202-MGT,FALSE,FALSE,Amazon US,0
B07K6SQLMQ,IP-KCFD-202-M50-R,IP-KCFD-202-M50-R,FALSE,FALSE,Amazon US,0
